date,year,team,opponent,team_score,opponent_score,margin,result,tournament
1990-08-18,1990,New Zealand,Australia,9,21,-12,Loss,1990 Australia tour of New Zealand
1990-10-27,1990,Argentina,Ireland,18,20,-2,Loss,1990 Argentina rugby union tour of British Isles
1990-10-27,1990,Ireland,Argentina,20,18,2,Win,1990 Argentina rugby union tour of British Isles
1990-11-03,1990,Argentina,England,0,51,-51,Loss,1990 Argentina tour of Great Britain and Ireland
1990-11-03,1990,England,Argentina,51,0,51,Win,1990 Argentina tour of Great Britain and Ireland
1990-11-03,1990,France,New Zealand,3,24,-21,Loss,1990 New Zealand tour of France
1990-11-03,1990,New Zealand,France,24,3,21,Win,1990 New Zealand tour of France
1990-11-10,1990,Argentina,Scotland,3,49,-46,Loss,1990 Argentina tour of Great Britain and Ireland
1990-11-10,1990,France,New Zealand,12,30,-18,Loss,1990 New Zealand tour of France
1990-11-10,1990,New Zealand,France,30,12,18,Win,1990 New Zealand tour of France
1991-01-19,1991,England,Wales,25,6,19,Win,1991 Five Nations Championship
1991-01-19,1991,France,Scotland,15,9,6,Win,1991 Five Nations Championship
1991-01-19,1991,Wales,England,6,25,-19,Loss,1991 Five Nations Championship
1991-02-02,1991,France,Ireland,21,13,8,Win,1991 Five Nations Championship
1991-02-02,1991,Ireland,France,13,21,-8,Loss,1991 Five Nations Championship
1991-02-02,1991,Wales,Scotland,12,32,-20,Loss,1991 Five Nations Championship
1991-02-16,1991,England,Scotland,21,12,9,Win,1991 Five Nations Championship
1991-02-16,1991,Ireland,Wales,21,21,0,Draw,1991 Five Nations Championship
1991-02-16,1991,Wales,Ireland,21,21,0,Draw,1991 Five Nations Championship
1991-03-02,1991,England,Ireland,16,7,9,Win,1991 Five Nations Championship
1991-03-02,1991,France,Wales,36,3,33,Win,1991 Five Nations Championship
1991-03-02,1991,Ireland,England,7,16,-9,Loss,1991 Five Nations Championship
1991-03-02,1991,Wales,France,3,36,-33,Loss,1991 Five Nations Championship
1991-03-16,1991,England,France,21,19,2,Win,1991 Five Nations Championship
1991-03-16,1991,France,England,19,21,-2,Loss,1991 Five Nations Championship
1991-03-16,1991,Ireland,Scotland,25,28,-3,Loss,1991 Five Nations Championship
1991-07-06,1991,Argentina,New Zealand,14,28,-14,Loss,1991 New Zealand tour of Argentina
1991-07-06,1991,New Zealand,Argentina,28,14,14,Win,1991 New Zealand tour of Argentina
1991-07-13,1991,Argentina,New Zealand,6,36,-30,Loss,1991 New Zealand tour of Argentina
1991-07-13,1991,New Zealand,Argentina,36,6,30,Win,1991 New Zealand tour of Argentina
1991-07-22,1991,Australia,Wales,63,6,57,Win,1991 Wales tour of Australia
1991-07-22,1991,Wales,Australia,6,63,-57,Loss,1991 Wales tour of Australia
1991-07-27,1991,Australia,England,40,15,25,Win,1991 England tour of Australia and Fiji
1991-07-27,1991,England,Australia,15,40,-25,Loss,1991 England tour of Australia and Fiji
1991-08-10,1991,Australia,New Zealand,21,12,9,Win,1991 New Zealand tour of Australia
1991-08-10,1991,New Zealand,Australia,12,21,-9,Loss,1991 New Zealand tour of Australia
1991-08-24,1991,Australia,New Zealand,3,6,-3,Loss,1991 Australia tour of New Zealand
1991-08-24,1991,New Zealand,Australia,6,3,3,Win,1991 Australia tour of New Zealand
1991-09-04,1991,France,Wales,22,9,13,Win,1991 Rugby World Cup warm-up match
1991-09-04,1991,Wales,France,9,22,-13,Loss,1991 Rugby World Cup warm-up match
1991-10-03,1991,England,New Zealand,12,18,-6,Loss,1991 Rugby World Cup Pool Stage
1991-10-03,1991,New Zealand,England,18,12,6,Win,1991 Rugby World Cup Pool Stage
1991-10-04,1991,Argentina,Australia,19,32,-13,Loss,1991 Rugby World Cup Pool match
1991-10-04,1991,Australia,Argentina,32,19,13,Win,1991 Rugby World Cup Pool match
1991-10-04,1991,Ireland,Scotland,15,24,-9,Loss,1991 Rugby World Cup
1991-10-08,1991,England,Italy,36,6,30,Win,1991 Rugby World Cup Pool Stage
1991-10-08,1991,Italy,England,6,36,-30,Loss,1991 Rugby World Cup Pool Stage
1991-10-09,1991,Argentina,Wales,7,16,-9,Loss,1991 Rugby World Cup Pool match
1991-10-09,1991,Wales,Argentina,16,7,9,Win,1991 Rugby World Cup Pool match
1991-10-12,1991,Australia,Wales,38,3,35,Win,1991 Rugby World Cup Pool match
1991-10-12,1991,Wales,Australia,3,38,-35,Loss,1991 Rugby World Cup Pool match
1991-10-13,1991,Italy,New Zealand,21,31,-10,Loss,1991 Rugby World Cup
1991-10-13,1991,New Zealand,Italy,31,21,10,Win,1991 Rugby World Cup
1991-10-19,1991,England,France,19,10,9,Win,1991 Rugby World Cup quarter-final
1991-10-19,1991,France,England,10,19,-9,Loss,1991 Rugby World Cup quarter-final
1991-10-20,1991,Australia,Ireland,19,18,1,Win,1991 Rugby World Cup Quarter-final
1991-10-20,1991,Ireland,Australia,18,19,-1,Loss,1991 Rugby World Cup Quarter-final
1991-10-26,1991,England,Scotland,9,6,3,Win,1991 Rugby World Cup Semi-Final
1991-10-27,1991,Australia,New Zealand,16,6,10,Win,1991 Rugby World Cup Semi-final
1991-10-27,1991,New Zealand,Australia,6,16,-10,Loss,1991 Rugby World Cup Semi-final
1991-10-30,1991,New Zealand,Scotland,13,6,7,Win,1991 Rugby World Cup Third Place Match
1991-11-02,1991,Australia,England,12,6,6,Win,1991 Rugby World Cup Final
1991-11-02,1991,England,Australia,6,12,-6,Loss,1991 Rugby World Cup Final
1992-01-18,1992,England,Scotland,25,7,18,Win,1992 Five Nations Championship
1992-01-18,1992,Ireland,Wales,15,16,-1,Loss,1992 Five Nations Championship
1992-01-18,1992,Wales,Ireland,16,15,1,Win,1992 Five Nations Championship
1992-02-01,1992,England,Ireland,38,9,29,Win,1992 Five Nations Championship
1992-02-01,1992,France,Wales,12,9,3,Win,1992 Five Nations Championship
1992-02-01,1992,Ireland,England,9,38,-29,Loss,1992 Five Nations Championship
1992-02-01,1992,Wales,France,9,12,-3,Loss,1992 Five Nations Championship
1992-02-15,1992,England,France,31,13,18,Win,1992 Five Nations Championship
1992-02-15,1992,France,England,13,31,-18,Loss,1992 Five Nations Championship
1992-02-15,1992,Ireland,Scotland,10,18,-8,Loss,1992 Five Nations Championship
1992-03-07,1992,England,Wales,24,0,24,Win,1992 Five Nations Championship
1992-03-07,1992,France,Scotland,6,10,-4,Loss,1992 Five Nations Championship
1992-03-07,1992,Wales,England,0,24,-24,Loss,1992 Five Nations Championship
1992-03-21,1992,France,Ireland,44,12,32,Win,1992 Five Nations Championship
1992-03-21,1992,Ireland,France,12,44,-32,Loss,1992 Five Nations Championship
1992-03-21,1992,Wales,Scotland,15,12,3,Win,1992 Five Nations Championship
1992-05-30,1992,Ireland,New Zealand,21,24,-3,Loss,1992 Ireland rugby union tour of New Zealand
1992-05-30,1992,New Zealand,Ireland,24,21,3,Win,1992 Ireland rugby union tour of New Zealand
1992-06-06,1992,Ireland,New Zealand,6,59,-53,Loss,1992 Ireland rugby union tour of New Zealand
1992-06-06,1992,New Zealand,Ireland,59,6,53,Win,1992 Ireland rugby union tour of New Zealand
1992-06-13,1992,Australia,Scotland,27,12,15,Win,1992 Scotland tour of Australia
1992-06-21,1992,Australia,Scotland,37,13,24,Win,1992 Scotland tour of Australia
1992-07-04,1992,Argentina,France,12,27,-15,Loss,1992 France tour of Argentina
1992-07-04,1992,Australia,New Zealand,16,15,1,Win,1992 New Zealand tour of Australia and South Africa
1992-07-04,1992,France,Argentina,27,12,15,Win,1992 France tour of Argentina
1992-07-04,1992,New Zealand,Australia,15,16,-1,Loss,1992 New Zealand tour of Australia and South Africa
