date,year,team,opponent,team_score,opponent_score,margin,result,tournament,elo_pre,elo_post,elo_delta
1988-11-05,1988,Australia,England,19,28,-9,Loss,1988 Australia tour of Great Britain and Italy,1486.087423633844,1469.2947098969364,-16.79271373690767
1988-11-05,1988,England,Australia,28,19,9,Win,1988 Australia tour of Great Britain and Italy,1444.3645062058547,1460.438986170428,16.074479964573356
1988-11-05,1988,France,Argentina,29,9,20,Win,1988 Argentina tour of France,1562.9617620835068,1575.4954113342822,12.533649250775397
1988-11-11,1988,Argentina,France,18,28,-10,Loss,1988 Argentina tour of France,1505.3119060083288,1493.3014185809177,-12.010487427411135
1988-11-11,1988,France,Argentina,28,18,10,Win,1988 Argentina tour of France,1575.4954113342822,1587.0115636311318,11.516152296849668
1988-11-19,1988,Scotland,Australia,13,32,-19,Loss,1988 Australia tour of Great Britain and Italy,1461.0443912333412,1446.400519186484,-14.643872046857268
1988-11-19,1988,Australia,Scotland,32,13,19,Win,1988 Australia tour of Great Britain and Italy,1469.2947098969364,1483.3077163651565,14.013006468220055
1988-12-03,1988,Australia,Italy,55,6,49,Win,1988 Australia tour of Great Britain and Italy,1483.3077163651565,1497.8147315299204,14.50701516476397
1988-12-03,1988,Italy,Australia,6,55,-49,Loss,1988 Australia tour of Great Britain and Italy,1471.8849040656305,1458.0023108462824,-13.88259321934811
1988-12-31,1988,Ireland,Italy,31,15,16,Win,,1432.2012543064673,1448.313132298414,16.111877991946812
1988-12-31,1988,Italy,Ireland,15,31,-16,Loss,,1458.0023108462824,1442.5841037930268,-15.418207053255628
1989-01-21,1989,France,Ireland,26,21,5,Win,1989 Five Nations Championship,1587.0115636311318,1596.3225206743814,9.310957043249573
1989-01-21,1989,Ireland,France,21,26,-5,Loss,1989 Five Nations Championship,1448.313132298414,1439.342794093778,-8.970338204636164
1989-01-21,1989,Scotland,Wales,23,7,16,Win,1989 Five Nations Championship,1446.400519186484,1463.8808963379113,17.48037715142732
1989-01-21,1989,Wales,Scotland,7,23,-16,Loss,1989 Five Nations Championship,1504.3843402190291,1487.6435449343523,-16.74079528467678
1989-02-04,1989,Scotland,England,12,12,0,Draw,1989 Five Nations Championship,1463.8808963379113,1463.7323019918877,-0.14859434602362853
1989-02-04,1989,Wales,Ireland,13,19,-6,Loss,1989 Five Nations Championship,1487.6435449343523,1470.571564949638,-17.07197998471429
1989-02-04,1989,England,Scotland,12,12,0,Draw,1989 Five Nations Championship,1460.438986170428,1460.5811657856173,0.14217961518920674
1989-02-04,1989,Ireland,Wales,19,13,6,Win,1989 Five Nations Championship,1439.342794093778,1455.6874293272235,16.344635233445615
1989-02-18,1989,England,Ireland,16,3,13,Win,1989 Five Nations Championship,1460.5811657856173,1475.3699001702487,14.788734384631425
1989-02-18,1989,France,Wales,31,12,19,Win,1989 Five Nations Championship,1596.3225206743814,1606.1186907220783,9.796170047696933
1989-02-18,1989,Ireland,England,3,16,-13,Loss,1989 Five Nations Championship,1455.6874293272235,1441.536282020646,-14.151147306577514
1989-02-18,1989,Wales,France,12,31,-19,Loss,1989 Five Nations Championship,1470.571564949638,1461.143726803582,-9.427838146056047
1989-03-04,1989,England,France,11,0,11,Win,1989 Five Nations Championship,1475.3699001702487,1495.762579093473,20.392678923224366
1989-03-04,1989,France,England,0,11,-11,Loss,1989 Five Nations Championship,1606.1186907220783,1586.508249212974,-19.61044150910425
1989-03-04,1989,Ireland,Scotland,21,37,-16,Loss,1989 Five Nations Championship,1441.536282020646,1427.4932596744623,-14.043022346183761
1989-03-04,1989,Scotland,Ireland,37,21,16,Win,1989 Five Nations Championship,1463.7323019918877,1477.1733860268437,13.44108403495602
1989-03-18,1989,Wales,England,12,9,3,Win,1989 Five Nations Championship,1461.143726803582,1477.633416013456,16.489689209874086
1989-03-18,1989,England,Wales,9,12,-3,Loss,1989 Five Nations Championship,1495.762579093473,1479.980589796432,-15.781989297041036
1989-03-18,1989,Scotland,France,3,19,-16,Loss,1989 Five Nations Championship,1477.1733860268437,1466.743866052072,-10.429519974771665
1989-03-18,1989,France,Scotland,19,3,16,Win,1989 Five Nations Championship,1586.508249212974,1596.5331177838304,10.02486857085637
1989-06-17,1989,New Zealand,France,25,17,8,Win,1989 French tour of New Zealand,1622.0860338607965,1635.9848106525308,13.898776791734235
1989-06-17,1989,France,New Zealand,17,25,-8,Loss,1989 French tour of New Zealand,1596.5331177838304,1583.2291012863236,-13.304016497506836
1989-06-24,1989,Argentina,Italy,21,16,5,Win,1989 Italy rugby union tour of Argentina,1493.3014185809177,1506.1271977133429,12.825779132425168
1989-06-24,1989,Italy,Argentina,16,21,-5,Loss,1989 Italy rugby union tour of Argentina,1442.5841037930268,1430.2972954001357,-12.28680839289109
1989-07-01,1989,France,New Zealand,20,34,-14,Loss,1989 French tour of New Zealand,1583.2291012863236,1570.4894035596008,-12.739697726722852
1989-07-01,1989,New Zealand,France,34,20,14,Win,1989 French tour of New Zealand,1635.9848106525308,1648.1901722362675,12.205361583736703
1989-07-15,1989,Argentina,New Zealand,9,60,-51,Loss,1989 Argentina tour of New Zealand,1506.1271977133429,1496.9401458849088,-9.18705182843405
1989-07-15,1989,New Zealand,Argentina,60,9,51,Win,1989 Argentina tour of New Zealand,1648.1901722362675,1657.0436498080219,8.85347757175441
1989-07-29,1989,Argentina,New Zealand,12,49,-37,Loss,1989 Argentina tour of New Zealand,1496.9401458849088,1488.4013683807252,-8.5387775041836
1989-07-29,1989,New Zealand,Argentina,49,12,37,Win,1989 Argentina tour of New Zealand,1657.0436498080219,1665.285383595695,8.241733787673184
1989-08-05,1989,New Zealand,Australia,24,12,12,Win,1989 Australia tour of New Zealand,1665.285383595695,1673.5674936592852,8.282110063590153
1989-08-05,1989,Australia,New Zealand,12,24,-12,Loss,1989 Australia tour of New Zealand,1497.8147315299204,1489.81539628576,-7.99933524416042
1989-11-04,1989,Australia,France,32,15,17,Win,1989 Australia tour of France and Canada,1489.81539628576,1508.23709810107,18.421701815309916
1989-11-04,1989,France,Australia,15,32,-17,Loss,1989 Australia tour of France and Canada,1570.4894035596008,1552.830152502258,-17.65925105734277
1989-11-04,1989,New Zealand,Wales,34,9,25,Win,"1989 New Zealand tour of Great Britain, Ireland and North America",1673.5674936592852,1680.904030212359,7.336536553073756
1989-11-04,1989,Wales,New Zealand,9,34,-25,Loss,"1989 New Zealand tour of Great Britain, Ireland and North America",1477.633416013456,1470.5284156376113,-7.105000375844838
1989-11-11,1989,Australia,France,19,25,-6,Loss,1989 Australia tour of France and Canada,1508.23709810107,1495.1518324239398,-13.08526567713011
1989-11-11,1989,France,Australia,25,19,6,Win,1989 Australia tour of France and Canada,1552.830152502258,1565.3626061024383,12.53245360018036
1989-11-18,1989,New Zealand,Ireland,23,6,17,Win,1989 New Zealand rugby union tour of Canada and the British Isles,1680.904030212359,1686.5637893064593,5.659759094100309
1989-11-18,1989,Ireland,New Zealand,6,23,-17,Loss,1989 New Zealand rugby union tour of Canada and the British Isles,1427.4932596744623,1421.9815934262865,-5.511666248175743
1990-01-20,1990,Wales,France,19,29,-10,Loss,1990 Five Nations Championship,1470.5284156376113,1459.5239968425221,-11.004418795089123
1990-01-20,1990,Ireland,England,0,23,-23,Loss,1990 Five Nations Championship,1421.9815934262865,1409.462607830454,-12.518985595832419
1990-01-20,1990,England,Ireland,23,0,23,Win,1990 Five Nations Championship,1479.980589796432,1491.9772129601236,11.996623163691538
1990-01-20,1990,France,Wales,29,19,10,Win,1990 Five Nations Championship,1565.3626061024383,1575.929474026492,10.566867924053668
1990-02-03,1990,Scotland,Ireland,13,10,3,Win,1990 Five Nations Championship,1466.743866052072,1479.2930014206977,12.549135368625684
1990-02-03,1990,Ireland,Scotland,10,13,-3,Loss,1990 Five Nations Championship,1409.462607830454,1397.4374779293591,-12.025129901094942
1990-02-03,1990,England,France,26,7,19,Win,1990 Five Nations Championship,1491.9772129601236,1510.5327914358209,18.555578475697303
1990-02-03,1990,France,England,7,26,-19,Loss,1990 Five Nations Championship,1575.929474026492,1558.1389501588012,-17.79052386769081
1990-02-17,1990,England,Wales,34,6,28,Win,1990 Five Nations Championship,1510.5327914358209,1523.3462522674786,12.813460831657721
1990-02-17,1990,France,Scotland,0,21,-21,Loss,1990 Five Nations Championship,1558.1389501588012,1539.7921543381995,-18.346795820601756
1990-02-17,1990,Scotland,France,21,0,21,Win,1990 Five Nations Championship,1479.2930014206977,1496.8788766632374,17.585875242539714
1990-02-17,1990,Wales,England,6,34,-28,Loss,1990 Five Nations Championship,1459.5239968425221,1447.2488448021245,-12.275152040397643
1990-03-03,1990,France,Ireland,31,12,19,Win,1990 Five Nations Championship,1539.7921543381995,1548.9685071942688,9.176352856069343
1990-03-03,1990,Ireland,France,12,31,-19,Loss,1990 Five Nations Championship,1397.4374779293591,1388.5940918201093,-8.843386109249877
1990-03-03,1990,Scotland,Wales,13,9,4,Win,1990 Five Nations Championship,1496.8788766632374,1509.7506320342184,12.871755370980964
1990-03-03,1990,Wales,Scotland,9,13,-4,Loss,1990 Five Nations Championship,1447.2488448021245,1434.918526997832,-12.330317804292463
1990-03-17,1990,Scotland,England,13,7,6,Win,1990 Five Nations Championship,1509.7506320342184,1525.337302724957,15.586670690738629
1990-03-17,1990,England,Scotland,7,13,-6,Loss,1990 Five Nations Championship,1523.3462522674786,1508.432211884659,-14.914040382819621
1990-03-24,1990,Ireland,Wales,14,8,6,Win,1990 Five Nations Championship,1388.5940918201093,1405.582310516058,16.988218695948717
1990-03-24,1990,Wales,Ireland,8,14,-6,Loss,1990 Five Nations Championship,1434.918526997832,1418.6549821129965,-16.263544884835483
1990-06-09,1990,Australia,France,21,9,12,Win,1990 France tour of Australia,1495.1518324239398,1512.4568794425752,17.305047018635378
1990-06-09,1990,France,Australia,9,21,-12,Loss,1990 France tour of Australia,1548.9685071942688,1532.397950832357,-16.570556361911713
1990-06-16,1990,New Zealand,Scotland,31,16,15,Win,1990 Scotland rugby union tour of New Zealand,1686.5637893064593,1695.063134529321,8.49934522286162
1990-06-16,1990,Scotland,New Zealand,16,31,-15,Loss,1990 Scotland rugby union tour of New Zealand,1525.337302724957,1517.132800837119,-8.204501887837978
1990-06-23,1990,New Zealand,Scotland,21,18,3,Win,1990 Scotland rugby union tour of New Zealand,1695.063134529321,1702.989149783991,7.926015254670119
1990-06-23,1990,Scotland,New Zealand,18,21,-3,Loss,1990 Scotland rugby union tour of New Zealand,1517.132800837119,1509.469995978597,-7.662804858522122
1990-06-24,1990,France,Australia,31,48,-17,Loss,1990 France tour of Australia,1532.397950832357,1516.5379696809755,-15.85998115138159
1990-06-24,1990,Australia,France,48,31,17,Win,1990 France tour of Australia,1512.4568794425752,1527.6330661684547,15.176186725879461
1990-06-30,1990,France,Australia,28,19,9,Win,1990 France tour of Australia,1516.5379696809755,1532.0168207359707,15.478851054995175
1990-06-30,1990,Australia,France,19,28,-9,Loss,1990 France tour of Australia,1527.6330661684547,1512.8223180240495,-14.810748144405125
1990-07-21,1990,Australia,New Zealand,6,21,-15,Loss,1990 Australia tour of New Zealand,1512.8223180240495,1505.3002238290808,-7.5220941949687585
1990-07-21,1990,New Zealand,Australia,21,6,15,Win,1990 Australia tour of New Zealand,1702.989149783991,1710.2698433726216,7.280693588630584
1990-07-28,1990,Argentina,England,12,25,-13,Loss,1990 England tour of Argentina,1488.4013683807252,1474.265212508977,-14.136155871748315
1990-07-28,1990,England,Argentina,25,12,13,Win,1990 England tour of Argentina,1508.432211884659,1521.9618408095891,13.529628924930194
1990-08-04,1990,Argentina,England,15,13,2,Win,1990 England tour of Argentina,1474.265212508977,1491.3116019639249,17.046389454947985
1990-08-04,1990,Australia,New Zealand,17,27,-10,Loss,1990 Australia tour of New Zealand,1505.3002238290808,1498.2481183913005,-7.052105437780256
1990-08-04,1990,England,Argentina,13,15,-2,Loss,1990 England tour of Argentina,1521.9618408095891,1505.6419857759688,-16.319855033620343
1990-08-04,1990,New Zealand,Australia,27,17,10,Win,1990 Australia tour of New Zealand,1710.2698433726216,1717.1053230819214,6.8354797092997615
1990-08-18,1990,New Zealand,Australia,9,21,-12,Loss,1990 Australia tour of New Zealand,1717.1053230819214,1693.7353489151844,-23.369974166736938
1990-08-18,1990,Australia,New Zealand,21,9,12,Win,1990 Australia tour of New Zealand,1498.2481183913005,1520.8973160427383,22.649197651437817
1990-10-27,1990,Argentina,Ireland,18,20,-2,Loss,1990 Argentina rugby union tour of British Isles,1491.3116019639249,1472.6837019516583,-18.627900012266537
1990-10-27,1990,Ireland,Argentina,20,18,2,Win,1990 Argentina rugby union tour of British Isles,1405.582310516058,1423.4438200566883,17.861509540630323
1990-11-03,1990,Argentina,England,0,51,-51,Loss,1990 Argentina tour of Great Britain and Ireland,1472.6837019516583,1459.1023725914747,-13.581329360183645
1990-11-03,1990,England,Argentina,51,0,51,Win,1990 Argentina tour of Great Britain and Ireland,1505.6419857759688,1518.6446410642366,13.00265528826776
1990-11-03,1990,France,New Zealand,3,24,-21,Loss,1990 New Zealand tour of France,1532.0168207359707,1523.534718268233,-8.482102467737604
1990-11-03,1990,New Zealand,France,24,3,21,Win,1990 New Zealand tour of France,1693.7353489151844,1701.9235693166227,8.18822040143823
1990-11-10,1990,New Zealand,France,30,12,18,Win,1990 New Zealand tour of France,1701.9235693166227,1709.8342010626134,7.910631745990713
1990-11-10,1990,Scotland,Argentina,49,3,46,Win,1990 Argentina tour of Great Britain and Ireland,1509.469995978597,1522.3105574587091,12.840561480112228
1990-11-10,1990,Argentina,Scotland,3,49,-46,Loss,1990 Argentina tour of Great Britain and Ireland,1459.1023725914747,1446.8015756443501,-12.300796947124581
1990-11-10,1990,France,New Zealand,12,30,-18,Loss,1990 New Zealand tour of France,1523.534718268233,1515.8864584414416,-7.6482598267914454
1991-01-19,1991,Scotland,France,9,15,-6,Loss,1991 Five Nations Championship,1522.3105574587091,1507.0332384120545,-15.277319046654611
1991-01-19,1991,Wales,England,6,25,-19,Loss,1991 Five Nations Championship,1418.6549821129965,1407.8565206795818,-10.798461433414786
1991-01-19,1991,England,Wales,25,6,19,Win,1991 Five Nations Championship,1518.6446410642366,1529.0173167236894,10.372675659452852
1991-01-19,1991,France,Scotland,15,9,6,Win,1991 Five Nations Championship,1515.8864584414416,1530.5043169139356,14.617858472493936
1991-02-02,1991,Wales,Scotland,12,32,-20,Loss,1991 Five Nations Championship,1407.8565206795818,1397.0256942595877,-10.830826419994082
1991-02-02,1991,Scotland,Wales,32,12,20,Win,1991 Five Nations Championship,1507.0332384120545,1517.4364282747704,10.403189862715863
1991-02-02,1991,Ireland,France,13,21,-8,Loss,1991 Five Nations Championship,1423.4438200566883,1412.9250473428629,-10.518772713825456
1991-02-02,1991,France,Ireland,21,13,8,Win,1991 Five Nations Championship,1530.5043169139356,1540.613320724717,10.10900381078136
1991-02-16,1991,England,Scotland,21,12,9,Win,1991 Five Nations Championship,1529.0173167236894,1543.517514666596,14.500197942906652
1991-02-16,1991,Ireland,Wales,21,21,0,Draw,1991 Five Nations Championship,1412.9250473428629,1412.239095856037,-0.685951486825843
1991-02-16,1991,Scotland,England,12,21,-9,Loss,1991 Five Nations Championship,1517.4364282747704,1503.560328978094,-13.87609929667633
